,importance,stddev,p_value,n,p99_high,p99_low
Neighborhood_ClearCr,181.94155980835893,55.36668764610969,0.0009133562871050163,5,295.94233492064575,67.94078469607213
Neighborhood_Timber,175.6333101639535,18.87505397267155,1.576333491173075e-05,5,214.49730717465417,136.76931315325282
Neighborhood_Gilbert,167.0191501462021,13.201075140475554,4.644559280620958e-06,5,194.2003463186897,139.8379539737145
Neighborhood_IDOTRR,153.64357505286353,18.22005763500612,2.3292870853131652e-05,5,191.1589255512996,116.12822455442743
RoofStyle,142.56220199576236,12.775937962388504,7.657704420616736e-06,5,168.86803484254847,116.25636914897625
LowQualFinSF,133.8368576164994,17.814083324493875,3.679107041885809e-05,5,170.5163013984295,97.1574138345693
GarageCond,133.3756224093122,18.32099539150098,4.167002410900706e-05,5,171.09880514347927,95.65243967514513
Neighborhood_MeadowV,133.33015077652598,35.82542085132305,0.0005695621275929848,5,207.0951874693374,59.565114083714576
GarageType,130.9000306912716,8.883207278408332,2.5295273392819996e-06,5,149.19067725648677,112.60938412605644
Neighborhood_SawyerW,130.86238101367562,9.28973396383595,3.0270709893778037e-06,5,149.99007164298217,111.73469038436907
Fence,130.08005931374973,35.90023663397336,0.0006307545786697551,5,203.99914273710215,56.160975890397324
Functional,119.00885669456366,15.585460570979452,3.4504532117521284e-05,5,151.09953542416767,86.91817796495965
Neighborhood_Mitchel,114.0991426222823,41.823352431486825,0.0018267131714510896,5,200.21400333887522,27.98428190568937
Street,86.04598296667282,68.04152395627763,0.0237265357253947,5,226.14442122645028,-54.05245529310463
Neighborhood_Blmngtn,83.96263310828144,11.607069873570902,4.273085359027012e-05,5,107.86175040471826,60.06351581184461
PavedDrive,68.19673433029311,11.182500595376808,8.372813832670412e-05,5,91.22165761475726,45.17181104582896
Neighborhood_SWISU,62.370933400879224,12.98571393422989,0.0002130210466405856,5,89.1086978730988,35.63316892865964
MiscVal,59.02925576502567,7.3224261702034825,2.784028878938376e-05,5,74.10623245615963,43.9522790738917
Neighborhood_Veenker,54.99132577937744,18.245250103800256,0.0012630043276125398,5,92.55854791925758,17.424103639497304
Neighborhood_NPkVill,52.65739400609855,35.25957676129142,0.01442606217063037,5,125.25734989673839,-19.942561884541284
Alley,50.085402279024855,15.10081755080657,0.0008819654889533075,5,81.17819433161452,18.992610226435197
Neighborhood_BrDale,30.84933804731845,17.518864938843585,0.0084974501435627,5,66.9209230928429,-5.222246998205993
Neighborhood_Blueste,15.707194732107018,18.436333889648626,0.06474041543690016,5,53.667861028107545,-22.253471563893505
MiscFeature,11.267510440807019,1.3829296228580843,2.6692953967684125e-05,5,14.114981648390476,8.420039233223562
